date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2023-06-05,-2.374030,-1.396180,0.000000,1.894100,-0.574680,-0.100940,-1.017540,1.037720,-0.034070,1.190900,0.503330,1.830290
2023-06-06,0.850820,0.698630,,1.431680,-0.252160,-0.447930,-0.861450,0.935330,0.028420,1.353530,0.579680,2.294670
2023-06-07,0.541070,0.836310,,-0.225490,1.130040,0.440560,-0.636880,1.301040,0.597120,1.570010,1.030720,2.246510
2023-06-08,-0.492990,-1.088760,0.000000,-0.379520,-0.761590,-0.580890,3.042840,0.825900,0.357880,1.008040,0.546950,2.203000
2023-06-09,0.239890,0.228590,0.000000,2.122490,1.313410,1.142460,-0.605230,1.005940,0.080800,0.733570,0.577570,2.387270
2023-06-13,0.325740,0.789630,0.249090,0.014690,0.742200,1.453720,0.243570,2.017250,-1.303720,0.542210,2.121950,2.751400
2023-06-14,-0.081660,0.396330,-0.704810,-0.685750,0.496200,2.467420,-0.672300,1.967900,-1.333340,0.402480,2.453580,2.640670
2023-06-15,0.040850,0.160110,0.098660,-0.655270,1.338250,0.575780,-0.921750,1.994680,-1.513060,0.379940,2.519920,2.764410
2023-06-16,-0.028290,-0.095670,-0.105760,-0.701810,0.750100,0.075540,-0.660700,1.592660,-1.634870,0.635060,2.054950,2.625770
2023-06-19,0.181510,0.351050,-1.959170,-0.499380,-0.743490,-0.699650,0.126230,1.557490,-1.789280,1.232510,1.196940,2.841890
2023-06-20,1.257150,0.113760,-0.428270,-0.748370,-0.513430,-0.270240,-0.239660,1.286080,-1.712020,1.276420,1.371740,2.654540
2023-06-21,-1.387610,-0.960630,0.982850,-0.425510,-0.503420,0.030270,-0.382620,0.874860,-2.195060,2.470460,0.920390,2.366520
2023-06-22,0.643820,-0.105550,-0.829220,-0.203770,0.347020,-0.418390,-0.285090,0.129770,-1.787750,1.805440,0.916200,2.017910
2023-06-23,-0.450370,0.786360,0.448490,-0.449930,0.571620,-0.144450,1.135330,-0.779830,-1.115600,1.790390,0.219090,1.905650
2023-06-26,1.034160,-0.569280,1.122630,-0.014690,2.429470,-0.016170,-0.489160,-1.028610,-1.227800,0.167980,-0.924310,1.896990
2023-06-27,0.142410,-0.071360,-1.661080,-0.642060,1.634740,0.982550,-0.493240,-1.182890,-1.470040,-0.374940,-1.104750,2.005170
2023-06-28,-0.419130,-1.072680,-0.248280,-0.660540,1.914470,-0.044800,-0.607970,-0.966760,-2.015580,-0.712350,-1.465690,1.939940
2023-06-29,-0.179900,1.189000,,-0.183970,0.323090,1.350500,-0.113910,-0.552910,-1.442290,-0.903360,-1.216400,1.798040
2023-06-30,-0.068760,0.075390,0.163980,-0.477570,-0.851600,-0.236950,0.507030,-1.107290,-1.509450,-1.086280,-0.933020,1.656030
2023-07-03,-0.782140,1.024790,-0.650490,-0.423600,0.246090,0.737380,0.912760,-2.275900,-0.857860,-1.295770,-1.994180,1.969340
2023-07-04,-0.046760,-0.130360,-0.087270,-0.963290,-0.873680,3.158430,-0.527240,-2.189840,-1.111530,-1.044080,-2.268880,1.829660
2023-07-05,2.382920,-0.400580,-0.812080,0.097660,1.534770,0.088800,-0.821290,-2.037520,-1.306870,-1.007760,-2.555560,1.752210
2023-07-06,-2.625970,0.257640,1.386410,0.382530,-1.078520,3.000500,0.615070,-2.798760,-1.289050,-0.931910,-2.766150,1.531600
2023-07-07,1.002470,0.384140,-0.054650,2.355000,0.248940,-0.433260,-0.642700,-2.529470,-1.173230,-1.231830,-2.640980,1.394250
2023-07-10,1.407680,0.726400,1.287810,-0.506280,0.504200,-0.765000,0.071390,-2.940630,-0.830980,-1.993160,-2.382620,0.953910
2023-07-11,-0.566750,1.202400,-0.223970,0.136470,0.061990,1.574800,-0.874460,-2.593140,-0.595350,-1.759460,-2.479830,0.756870
2023-07-12,-0.510750,0.608420,0.353390,-0.876490,0.070310,-0.567600,-1.038660,-2.123240,-0.163120,-2.588790,-2.092390,0.724480
2023-07-13,1.136250,0.693000,-0.510400,-1.140010,-0.947780,-0.847990,0.277310,-1.959770,0.057780,-2.963810,-1.823870,0.539960
2023-07-14,-1.025810,-0.325890,0.361830,-0.722390,-1.058880,-0.855390,-0.652770,-1.676040,-0.170750,-2.075810,-1.654880,0.454520
2023-07-17,-0.142030,-1.033030,1.272390,0.351810,-0.886740,-0.788050,-1.109450,-1.950830,0.463290,0.176450,-1.231130,0.027000
2023-07-18,0.144760,-1.737820,-2.046890,-0.556310,-1.117510,-0.752690,-0.751170,-1.832420,0.227250,1.615400,-1.204200,-0.022900
2023-07-19,0.717880,-1.841210,1.129540,-0.184320,-0.444270,0.095350,2.762270,-2.185410,0.222340,1.504330,-1.094050,-0.120560
2023-07-20,-0.078290,-0.051450,1.060410,-0.625530,-0.319460,-0.602960,-0.782360,-1.835100,-0.018920,2.328940,-1.120550,0.053920
2023-07-21,-1.168080,1.437090,,-0.172130,-0.271380,1.694650,-0.352590,-1.695540,0.313300,2.235780,-1.283440,-0.030720
2023-07-24,0.508000,-1.901240,-1.797680,-0.295560,2.305040,-0.699890,-0.968700,-1.531970,0.177170,1.566150,-1.155000,-0.118360
2023-07-25,0.204380,0.096440,0.843660,-0.733800,-0.836030,-0.329300,0.320840,-1.630040,0.312300,1.037270,-0.873080,-0.158520
2023-07-26,-0.447380,-0.577450,-0.566000,-0.568050,-1.179290,1.956320,-0.849690,-1.520390,0.384630,1.560070,-0.773180,-0.058400
2023-07-27,0.233400,1.355930,,0.223250,0.256600,-0.037840,0.142740,-1.214520,0.749740,1.636910,-0.697980,-0.157900
2023-07-28,-0.308360,1.185250,,-0.542130,-0.252860,0.192760,-0.311810,-1.256360,1.075760,1.359830,-0.504000,-0.311170
2023-07-31,-1.935130,-0.480490,0.000000,-0.424860,1.738780,2.626700,-0.628920,-0.623950,1.568760,1.344340,-0.147150,-0.301770
2023-08-01,1.602660,-0.474290,0.000000,-0.566700,0.735890,-0.453030,-0.628530,-0.653430,1.284350,1.222120,0.069420,-0.368930
2023-08-02,-1.286310,-1.534590,0.000000,-0.474240,2.737040,-0.454060,-0.955500,-0.422900,0.788380,0.858290,-0.118250,-0.166350
2023-08-03,1.383430,-1.206020,0.000000,0.183340,-0.692930,-0.722280,-0.403290,-0.090550,0.263350,0.706230,0.093790,-0.176530
2023-08-04,-0.828960,0.619110,0.000000,0.037830,1.029560,0.220570,0.576580,0.077750,0.590530,0.065310,0.099390,-0.299440
2023-08-07,0.447690,-0.007260,0.000000,1.419130,-0.878590,-0.608650,-0.402460,0.005710,-0.363090,-0.239390,0.572090,-0.755960
2023-08-08,-0.099230,1.054670,,-0.276400,0.676880,0.356550,0.104810,0.059650,0.478910,-1.155190,0.705810,-0.743010
2023-08-09,-0.022260,-0.102530,0.000000,-0.759820,-0.483130,2.560620,-0.390850,0.417610,0.958210,-1.007720,0.799890,-0.705310
2023-08-10,-0.066770,-0.090210,0.000000,-0.625500,-0.578480,-0.265480,-1.139910,0.097270,0.981020,-1.139520,0.912220,-0.624910
2023-08-11,0.114300,0.540820,0.000000,-0.665770,-0.449420,0.001130,1.650800,0.185590,0.793180,-1.085500,0.933890,-0.722520
2023-08-14,0.175990,1.004970,-0.242760,0.179660,-0.279400,1.154210,-0.087920,0.402170,0.293910,-1.091650,0.850760,-1.092910
2023-08-15,0.181170,-1.290040,0.797660,-0.262160,-0.459720,3.022320,-0.796480,0.721270,-0.263960,-1.080090,0.478130,-1.002880
2023-08-16,0.299050,0.460660,-0.478290,-0.396290,0.389480,0.999200,-0.354390,0.771780,0.029640,-1.483260,0.597370,-0.915190
2023-08-17,-0.052410,0.337920,0.749050,-0.272170,1.100720,-0.113330,-0.860640,1.072240,-0.318860,-1.427650,0.627390,-0.896190
2023-08-18,-0.410740,-1.074290,-2.036450,-0.302220,-0.486890,-0.486860,-0.620120,1.072380,-1.176260,-1.611160,0.957970,-0.940370
2023-08-21,-0.938750,1.259720,,-0.331370,0.102520,-0.225510,-0.233350,1.101010,-0.915230,-1.048820,1.181320,-1.113220
2023-08-22,1.125050,0.115950,0.732580,-0.206130,1.639140,-0.506840,-0.746070,1.503250,-0.843000,-0.879700,0.765000,-0.886870
2023-08-23,-1.201010,-0.079140,-0.569720,-0.195500,0.922780,0.970160,-0.597070,1.118580,-0.444090,-0.809960,0.770010,-0.761020
2023-08-24,-0.144810,-0.968800,0.825510,-0.694050,-0.684800,-0.433350,2.484650,0.424560,-0.408650,-0.856220,0.250930,-0.849730
2023-08-25,0.765760,-1.019820,0.752070,-0.638910,-0.685970,-0.556610,-0.555640,-0.104210,-1.070200,-0.797130,0.623290,-0.884750
2023-08-28,0.102090,1.375890,,0.475850,0.141050,-0.036710,-0.038940,0.488820,0.245240,-0.950720,-0.007000,-1.026530
2023-08-29,0.088830,-0.088150,0.153890,-0.790380,-0.694580,-0.472780,-0.876540,0.768210,-0.256090,-0.727660,0.211380,-0.839780
2023-08-30,0.345440,-1.322480,-0.048810,-1.396760,2.651340,-0.400380,-0.843780,0.933340,-0.804580,-0.770250,-0.002650,-0.821460
2023-08-31,-0.648930,-1.206910,0.851050,-0.756700,-0.932730,-0.391350,1.779650,0.709260,-1.331970,-1.123380,-0.260420,-1.025470
2023-09-01,0.531970,-1.001040,0.851050,0.265140,2.269490,-0.058150,-0.199650,0.388120,-2.015910,-1.036800,-0.434650,-1.095360
2023-09-04,-1.190630,0.301960,0.770520,-0.401240,-0.377020,-0.402920,-0.503170,0.428940,-1.208770,-0.608780,-0.172650,-1.008300
2023-09-05,-1.017630,0.904040,0.770520,-0.770480,-0.192260,-0.057780,0.180020,0.334290,-0.413270,-0.519850,0.143430,-0.983760
2023-09-06,0.127060,0.682100,-1.483950,-0.661340,-0.098790,1.799240,0.441410,0.050190,-0.394390,-0.511980,-0.089630,-1.088050
2023-09-07,1.154800,1.286620,,-0.869300,-0.004480,0.626100,-0.480950,-0.314750,-0.057660,-0.511980,-0.052890,-0.882860
2023-09-08,-1.520030,-0.233540,0.000000,0.108800,-0.313080,-0.151940,-0.460720,0.067470,0.333080,-0.483330,-0.268450,-0.787300
2023-09-11,0.109950,-0.198110,-1.344320,-0.424370,1.466360,-0.646030,-0.690090,0.013030,-0.770010,-0.935350,-0.676170,-0.467860
2023-09-12,0.248560,0.645660,0.857980,-0.625080,-0.446180,-0.614000,-0.582420,-0.416000,-0.567380,-0.899080,-0.337540,-0.521450
2023-09-13,-1.645340,-1.062140,-0.581400,-0.193270,2.100800,0.905510,-0.057580,-0.407180,-0.912010,-0.815570,-0.305720,-0.587710
2023-09-14,0.802360,-1.272910,0.872100,-0.420530,-0.676810,-0.464330,2.317680,0.414800,-1.001880,-0.717230,-0.189290,-0.309890
2023-09-15,-0.199330,-1.163590,-1.147160,-0.146400,-0.927040,0.378070,-0.743080,0.778850,-1.000500,-0.727250,-0.245290,-0.297050
2023-09-18,-1.094310,1.328650,0.369480,0.443460,-0.838320,1.086310,-0.122180,0.642540,-1.093890,-1.198520,-0.845820,-0.149930
2023-09-19,0.570380,-1.130310,0.858350,-0.566910,-0.756580,-0.915040,1.292890,-0.055780,-1.500040,-1.381250,-1.398770,-0.316770
2023-09-20,-0.688290,-0.012540,-1.172440,-0.754810,-0.950030,2.029600,-0.844630,-0.377210,-1.023030,-1.296280,-0.969760,-0.078160
2023-09-21,0.693790,0.195760,0.254130,-0.674130,-0.413600,-0.646970,-0.184750,0.047750,-0.467170,-1.096860,-0.450440,-0.291390
2023-09-22,-0.345600,-1.406140,0.961290,-0.749260,-0.497990,-0.612960,1.275740,0.013340,-0.503970,-0.951500,-0.400110,-0.427120
2023-09-25,0.921760,-1.226920,0.908450,-0.379620,-0.347460,3.323600,-0.664000,-0.210610,-1.126490,-0.764760,-0.700690,-0.347670
