TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-09-02,-0.677261,1.189256,0.024864,1.357381,-1.806998,1.181253,0.684908,1.668479,0.883699,1.299692,-6.043247
2020-09-03,-0.825872,0.506882,0.002314,1.400803,-1.4841,1.050459,0.574438,1.634734,0.854357,1.290502,-2.740816
2020-09-04,-0.275626,0.470573,-0.006119,1.426298,-1.209962,0.921091,0.475994,1.614045,0.831625,1.283663,-4.939923
2020-09-07,0.482718,0.405761,0.012917,1.465189,-1.018394,0.818616,0.350793,1.593812,0.811396,1.278649,-5.229839
2020-09-08,-1.460992,0.798777,0.00646,1.527995,-0.612544,0.682827,0.204143,1.568233,0.790504,1.278561,-3.972712
2020-09-09,-0.265489,0.01761,-0.019683,1.601727,-0.159427,0.458928,0.05059,1.542327,0.771842,1.278607,2.496865
2020-09-10,1.236792,-0.818371,0.004137,1.59518,0.439647,0.141278,-0.117533,1.523949,0.751406,1.279569,6.008197
2020-09-11,0.917146,-1.230184,-0.005614,1.572442,0.842178,-0.292571,-0.265416,1.515914,0.730841,1.282415,9.417453
2020-09-14,1.031645,-1.107609,0.003146,1.585809,0.821059,-0.764074,-0.415157,1.516139,0.7098,1.288668,7.306359
2020-09-15,2.082687,0.18453,-0.008991,1.591311,0.102097,-1.152491,-0.577489,1.520364,0.68499,1.294055,4.899424
2020-09-16,-0.074666,0.090934,0.007405,1.605133,-0.70725,-1.513077,-0.756408,1.524471,0.656063,1.302342,-3.235382
2020-09-17,0.026665,-0.082409,0.00713,1.640712,-1.334098,-1.764945,-0.951942,1.529627,0.62293,1.309084,-12.71446
2020-09-18,-0.758159,-1.742564,0.005049,1.636924,-1.738603,-1.788328,-1.182133,1.523973,0.582756,1.310232,-9.913533
2020-09-21,-2.767467,1.81548,0.015212,1.648638,-1.261718,-1.926027,-1.464893,1.500906,0.542505,1.313726,-4.021739
2020-09-22,0.967027,1.358391,0.000732,1.651901,-0.930272,-1.979151,-1.740962,1.476431,0.498705,1.318372,5.665689
2020-09-23,1.231233,1.727928,0.02848,1.644412,-1.329806,-1.919911,-1.974884,1.464869,0.45661,1.322822,1.403331
2020-09-24,0.096417,1.313377,-0.003425,1.61277,-1.317111,-1.895352,-2.157847,1.453067,0.408146,1.327473,1.229845
2020-09-25,-0.367394,0.940271,0.01498,1.6519,-1.217156,-1.830381,-2.312658,1.437809,0.358325,1.336211,-0.302256
2020-09-28,1.127418,1.069647,0.007461,1.814353,-1.310169,-1.694969,-2.394902,1.433806,0.318998,1.346259,1.031715
2020-09-29,-0.492138,1.049089,0.003556,1.990946,-1.232338,-1.596174,-2.47827,1.417747,0.274113,1.354805,-4.28293
2020-09-30,-0.036207,0.95235,-0.017992,2.079477,-1.189201,-1.540163,-2.501642,1.39914,0.248704,1.366443,-6.67552
2020-10-01,-0.445167,0.895122,-0.003262,2.008861,-1.129434,-1.498864,-2.510534,1.371334,0.234122,1.378274,-2.744874
2020-10-02,-1.150418,1.056198,0.001103,1.972237,-0.641418,-1.485661,-2.516274,1.339253,0.206724,1.389197,0.367758
2020-10-05,1.047899,1.261793,-0.005832,1.939149,-0.410872,-1.424356,-2.495418,1.316413,0.169491,1.397577,-1.151889
2020-10-06,0.425915,1.148302,-0.015495,1.86405,-0.664174,-1.380929,-2.44458,1.304083,0.122641,1.407909,-4.142011
2020-10-07,-1.579068,1.242635,0.006139,1.774125,-0.150011,-1.36357,-2.416582,1.278812,0.080897,1.417963,-6.856557
2020-10-08,0.172595,1.104103,-0.013104,1.690963,0.322976,-1.32674,-2.36903,1.263281,0.045441,1.432782,0.4172
2020-10-09,-0.312043,0.892708,-0.003483,1.619441,1.269563,-1.351156,-2.314534,1.251854,0.009397,1.44657,-2.015645
2020-10-12,0.505814,0.834733,0.008187,1.578411,1.707873,-1.372994,-2.262277,1.244282,-0.022674,1.459675,2.576386
2020-10-13,-0.414692,0.683899,0.008431,1.537461,1.775336,-1.455691,-2.221429,1.232167,-0.046924,1.47148,-3.396087
2020-10-14,1.168902,-0.299971,0.010248,1.517622,1.709183,-1.583421,-2.179069,1.224694,-0.076903,1.483906,-3.516491
2020-10-15,-1.094222,0.119142,0.011325,1.54873,1.867415,-1.75945,-2.156366,1.203159,-0.135462,1.493528,-7.293054
2020-10-16,-0.342611,0.073162,-0.010236,1.555549,2.035443,-1.928423,-2.139563,1.17295,-0.210676,1.506452,-1.687917
2020-10-19,0.071899,-0.401359,0.006345,1.545189,2.053966,-2.043277,-2.119822,1.140258,-0.270397,1.516164,-1.588563
