date,news_topic_intensity_MonetaryPolicyRF_raw_z,news_sentiment_1d_raw_z,news_topic_intensity_OilGasEnergy_raw_z,news_topic_intensity_MacroRF_raw_z,news_topic_entropy_1d_raw_z,news_topic_intensity_FiscalPolicyCorp_raw_z,news_topic_intensity_GeopoliticsSanctions_raw_z,news_sentiment_extreme_1d_raw
2020-08-09,-0.85807,0.28639,-1.32715,0.71141,-3.56696,-1.72948,1.39925,1.00000
2020-08-10,0.05302,-0.21062,-1.18583,-0.31105,-0.84035,1.20982,-0.69703,0.00000
2020-08-11,-0.47498,0.76457,0.10356,-0.10182,0.37485,-0.30055,0.78306,
2020-08-12,-1.21605,-0.15807,-0.75586,-0.10182,-0.21751,0.25867,-0.40008,
2020-08-13,-0.83621,0.87962,-0.99440,-0.30341,-1.12786,0.96977,-0.87906,1.00000
2020-08-14,-0.17856,-0.24195,-0.66037,0.92526,0.25365,0.63149,-0.12705,
2020-08-15,-1.51247,0.51294,1.24945,-2.25868,-4.27785,-2.44422,0.96508,
2020-08-16,-0.88182,1.34137,0.20840,-0.98754,-0.59373,1.72748,-0.54370,0.00000
2020-08-17,0.53604,0.04429,-0.60748,0.79853,0.32175,-0.74946,-0.54814,0.33333
2020-08-18,-0.61318,0.94445,0.12919,-0.76856,0.15523,-0.10760,-0.83355,1.00000
2020-08-19,0.34967,-0.06054,-0.15429,0.02683,0.48784,0.35860,-0.42399,0.50000
2020-08-20,-0.60795,-0.12306,-0.23036,0.43805,0.11899,0.32862,-0.19647,1.00000
2020-08-21,-0.60931,-0.61893,-0.48178,-0.55552,-0.44743,0.65300,-0.37798,0.50000
2020-08-22,-1.51247,0.76457,-0.56488,0.71985,-1.45889,2.12274,-1.21917,
2020-08-23,-1.51247,0.51294,-1.90176,-2.25868,,-2.44422,-2.03827,
2020-08-24,-0.32677,-0.15807,-0.75586,-1.02619,0.27483,0.25867,-0.49109,
2020-08-25,0.07104,0.87983,-0.43104,0.49708,0.32080,1.63648,-0.19351,1.00000
2020-08-26,0.05725,-0.28895,0.15309,0.19397,0.71314,0.69253,0.74009,0.66667
2020-08-27,-0.54433,-0.26417,-0.54167,-0.39668,0.58830,0.29541,-0.25326,1.00000
2020-08-28,1.50142,-0.65466,-0.95955,0.91282,0.06934,0.63395,-0.42279,1.00000
2020-08-29,-1.51247,-0.74521,-1.90176,-2.25868,-8.14389,2.21595,-2.03827,
2020-08-30,-0.86463,-1.93630,-0.97817,0.89148,-1.38554,0.19529,-1.12220,1.00000
2020-08-31,-0.59934,-1.48147,-0.60845,1.18711,-0.66650,-0.28961,-0.63938,0.00000
2020-09-01,-0.68510,-0.12554,-0.60779,0.27638,-0.01044,0.44039,0.29758,0.33333
2020-09-02,-0.61066,-0.13825,-0.29642,0.54863,0.37587,-0.34118,-0.46917,0.50000
2020-09-03,0.06943,-0.16612,-0.41035,0.45089,0.20638,1.15739,0.56802,0.50000
2020-09-04,-0.06921,-0.11852,-0.56412,1.81803,0.04331,0.14192,-0.32813,0.00000
2020-09-05,-0.91040,0.65186,-1.32911,-0.51966,-2.19921,-0.80242,3.16954,0.00000
2020-09-06,-0.87755,-0.87170,-0.56206,0.02623,0.28209,-0.72737,0.61202,1.00000
2020-09-07,-0.67317,-0.31413,-0.63665,0.27682,-0.05662,-0.01395,0.72596,1.00000
2020-09-08,-0.64845,0.55876,-0.26103,0.00645,0.58383,-0.52535,-0.23246,0.75000
2020-09-09,2.74064,0.11526,-0.79438,-0.73010,-0.80560,-0.77447,-1.03833,0.00000
2020-09-10,-0.40776,-0.57616,-0.48479,0.15222,0.50145,-0.58988,0.37864,0.50000
2020-09-11,-0.90954,-1.00054,-0.77979,0.33091,0.09255,-0.14170,-0.21984,1.00000
2020-09-12,-0.90099,-0.21041,0.38146,-0.29572,-0.32707,-1.21122,-0.37782,1.00000
2020-09-13,-1.51247,-0.20001,-0.53623,-0.78996,-0.71364,-1.11142,0.56464,
2020-09-14,-0.91040,-0.88789,-0.67978,-0.61212,-1.02773,-0.88631,1.47223,1.00000
2020-09-15,-0.40482,0.06234,-0.53340,0.06154,0.63581,0.70391,-0.17967,0.50000
2020-09-16,0.22763,0.07449,-0.28320,0.05566,-0.33436,1.18989,-0.19648,0.66667
2020-09-17,-0.67628,0.21489,-0.08253,0.25286,0.38731,0.68983,-0.50194,0.60000
2020-09-18,0.16233,-0.56907,-1.40520,1.15122,-0.47027,0.67809,-1.27378,
2020-09-19,0.01623,0.04431,0.15853,0.37966,0.14149,-0.56932,1.25793,0.50000
2020-09-20,-0.89284,3.10275,-1.27637,0.09585,-0.76370,-1.73331,-1.25769,1.00000
2020-09-21,-0.39164,-0.92657,-0.80392,-0.77645,-0.81178,-0.15000,0.93981,1.00000
2020-09-22,0.67751,0.45656,-0.80863,-0.32557,0.77266,0.41951,-0.19468,0.00000
2020-09-23,-0.53807,-0.22220,-0.94664,0.40825,-0.16823,-0.24306,-0.19478,0.66667
2020-09-24,-0.51748,0.24115,-0.80638,-0.11802,0.06570,1.41129,-0.47623,0.50000
2020-09-25,0.20177,-0.08146,-0.35838,0.79510,-0.40991,1.63778,0.25859,1.00000
2020-09-26,-0.88839,1.34236,1.15620,-0.05411,-0.91646,0.51409,-1.08390,0.71429
2020-09-27,-1.51247,1.77108,-1.42430,-1.74514,-3.20460,1.28391,-1.58322,
2020-09-28,0.71072,-0.57746,0.10356,1.02797,0.60113,0.81789,0.23700,
2020-09-29,0.00837,-0.04463,-0.46964,-0.10130,0.56881,0.51069,-0.45166,0.66667
2020-09-30,0.05556,-0.50823,-0.98257,0.70725,0.03062,0.82745,-0.28716,1.00000
2020-10-01,0.71072,-1.83560,-0.18292,1.33610,0.50107,1.09750,0.51003,
2020-10-02,-0.61294,-0.44800,-0.41454,0.13927,0.08347,0.27009,-0.78787,0.00000
2020-10-03,-1.14194,0.93232,-1.90176,-1.48837,-3.54825,-0.58016,-2.03827,
2020-10-04,-0.77141,0.09356,-1.90176,-1.23160,-0.77661,-1.51219,-0.67311,
2020-10-05,-0.51835,0.08100,-0.52913,0.17909,0.38332,0.26304,-0.84839,0.75000
2020-10-06,-0.35523,-0.64344,-0.96511,0.61775,0.40824,0.00398,0.49521,0.50000
2020-10-07,-0.68460,-0.89590,0.34360,0.95395,-0.08514,-0.32907,1.26469,0.33333
2020-10-08,-0.51516,-0.58871,0.21638,0.06738,0.68255,-0.34841,-0.14540,0.75000
2020-10-09,-1.51247,-0.99684,-0.75586,2.36317,-1.13384,-0.48695,-0.49109,
2020-10-10,-1.51247,0.93232,-1.90176,-1.23160,-4.27785,-1.51219,-2.03827,
2020-10-11,-1.51247,-0.32583,0.48552,0.30902,-2.34483,2.21595,-2.03827,
2020-10-12,-0.53668,0.50230,-0.74627,1.61978,-0.81818,-0.37278,-0.89723,1.00000
2020-10-13,-0.55007,0.68712,-0.69838,-0.50558,-0.07220,0.57053,-0.38516,1.00000
2020-10-14,-0.53729,0.67034,-0.61080,-1.26083,-0.72258,0.95107,-0.65125,1.00000
2020-10-15,-1.51247,-2.79179,-1.22377,2.46588,-1.64829,-0.29123,-0.94614,
2020-10-16,0.23854,-1.65621,-0.68866,-0.23301,0.10045,1.01256,-0.40227,1.00000
2020-10-17,-1.51247,-0.68649,-0.53623,-2.25868,-4.59371,-2.44422,0.56464,
2020-10-18,-0.91037,0.25086,-1.32885,2.56163,-2.42718,-0.80234,1.34891,1.00000
2020-10-19,-0.84498,-0.62236,0.36656,1.55030,-0.16200,0.08675,-0.75938,1.00000
2020-10-20,-0.66533,0.27857,-0.69411,1.43222,-0.75755,-0.49019,-0.42400,0.50000
2020-10-21,-0.45818,-1.33706,-0.88309,0.88092,-0.13813,-0.19935,-0.01056,0.50000
2020-10-22,-0.69107,-0.74192,0.24875,1.33395,0.34973,0.41889,-0.36934,0.66667
2020-10-23,0.04135,-0.13348,-0.64375,0.60110,0.90725,-0.55529,-0.34332,0.60000
2020-10-24,-1.51247,-1.16459,0.96298,-2.25868,-2.37731,-0.85977,1.87519,
2020-10-25,2.19284,-0.07420,-1.90176,-0.20452,-2.36208,1.74993,-2.03827,
2020-10-26,0.20327,0.27539,-0.46636,-0.18208,0.76165,0.27142,0.15936,0.33333
2020-10-27,-0.46061,0.13512,-0.82561,-0.22169,-0.27377,0.32382,-1.05953,0.50000
2020-10-28,0.71072,-1.58397,-0.75586,2.36317,0.16183,0.35188,-0.40008,
2020-10-29,0.21691,-0.67499,-0.57366,-0.58390,-0.10297,0.69699,-0.89990,1.00000
2020-10-30,-1.06783,-1.16459,-1.23332,1.64422,-0.92662,-0.58016,-1.21917,
