date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y
2020-11-28,-0.84752,-0.54082,,-0.05603,-0.33892,,,-2.80849,1.66996,,,
2020-11-29,1.47618,-1.72302,,-0.51227,-1.74434,,,-3.24228,1.38514,,,
2020-11-30,-1.95578,0.06209,,-0.03021,0.80787,,,-2.88485,1.12740,,,
2020-12-01,1.06798,-0.12988,,-0.50253,-0.17872,,,-2.22087,0.91253,,,
2020-12-02,-0.51612,0.35936,,-0.28894,0.70314,,,-2.13628,0.66281,,,
2020-12-03,0.16362,0.64041,,-0.92216,0.52518,,,-1.51790,0.63048,,,
2020-12-04,0.15348,0.40628,,-0.98111,0.36267,,,-1.77874,0.68546,,,
2020-12-05,-0.02055,-1.00178,,0.66931,-1.42277,,,-2.12673,0.21380,,,
2020-12-06,-0.16546,-0.68962,,3.44882,0.13045,,,-2.07077,0.17931,,,
2020-12-07,0.13478,0.32338,,0.16269,0.61456,,,-1.61176,0.10414,,,-0.56020
2020-12-08,-0.00861,-1.20126,,-0.64329,-1.31077,,,-1.44748,-0.12044,,,-0.53042
2020-12-09,0.02387,0.50172,,-0.58548,0.47859,,,-1.07926,0.12853,,,-0.48369
2020-12-10,-0.16955,-1.00106,,-0.31512,-1.47211,,,-0.62838,-0.26914,,,-0.07382
2020-12-11,-0.17621,0.14484,,-0.02448,-0.82400,,,-0.30871,-0.37101,,,0.07860
2020-12-12,0.24224,0.86220,,-0.34691,-0.11182,,,-0.40678,-0.48157,,,-0.08494
2020-12-13,1.23066,-1.55441,,0.58071,-0.36617,,,0.16626,-0.23313,,,0.13572
2020-12-14,-1.77141,0.00128,,-0.54775,0.98573,,,0.30566,-0.31389,,,0.06010
2020-12-15,0.42274,0.44062,,-0.25154,0.99670,,,0.42934,-0.53478,,,-0.10634
2020-12-16,0.28309,1.12761,,-0.53708,0.32883,,,0.53513,-0.09096,,,-0.37333
2020-12-17,0.10912,-0.51409,,-0.39531,-0.76987,,,1.09197,-0.36338,,,0.21561
2020-12-18,-0.55470,0.11165,,-0.34787,-0.14301,,,1.59434,-0.50802,,,0.85278
2020-12-19,0.99655,0.48283,,-0.31084,0.84495,,,2.31778,-0.40498,,,1.31896
2020-12-20,-1.28126,-0.89576,,-0.70280,-1.36628,,,2.79800,-0.22425,,,1.30457
2020-12-21,0.34392,-0.14566,,-0.65812,-0.33436,,,2.35555,-0.33743,,,1.23454
2020-12-22,0.62785,-0.21093,,-0.56652,-0.51267,,,2.15795,-0.41988,,,1.22436
2020-12-23,-0.34428,0.65200,,-0.38103,-1.01382,,,1.83703,-0.47209,,,1.22905
2020-12-24,0.08128,-0.63739,,-0.57858,-0.75257,,,1.75795,-0.78942,,,1.67379
2020-12-25,-0.02978,0.10648,,0.39800,1.03624,,,1.84205,-0.95144,,,1.53631
2020-12-26,0.94036,1.97642,,-0.20693,0.70302,,,2.15578,-0.47981,,,1.71507
2020-12-27,-1.17233,-1.66376,,-0.37401,2.88873,,,2.64080,-0.65953,,,2.05402
2020-12-28,0.01876,1.03334,,-0.70905,-0.34661,,,2.46888,-0.60685,,,2.22626
2020-12-29,0.79132,1.32866,,-0.86408,-0.24297,,,2.55952,-0.13142,,,2.34088
2020-12-30,-1.02224,-0.01171,,-0.62880,0.88527,,,2.46814,-0.28741,,,2.43112
2020-12-31,0.44839,-1.61270,,0.17688,1.86615,,,2.08006,-0.35339,,,2.46676
2021-01-01,1.25476,1.50174,,-0.68992,0.29048,,,1.77407,-0.11275,,,2.32465
2021-01-02,-1.83247,1.26875,,0.66800,-0.15953,,,1.80185,-0.06727,,,2.18286
2021-01-03,0.99352,-0.32923,,2.33779,-1.58949,,,1.64238,0.20974,,,1.87137
2021-01-04,0.59334,-1.82769,,3.47459,-0.62657,,,1.40681,-0.19205,,,1.86699
2021-01-05,-1.38610,0.75904,,-0.06010,0.10497,,,1.44537,-0.11139,,,2.13164
2021-01-06,0.85097,1.03158,,0.03319,0.11028,,,1.41476,-0.14081,,,1.90318
2021-01-07,0.49833,-0.75108,,1.24913,0.69078,,,1.43606,-0.20734,,,2.09799
2021-01-08,-1.64853,0.84688,,2.71265,-0.88185,,,1.27656,-0.00111,,,2.10131
2021-01-09,1.42745,-1.96173,,-0.42494,-1.12569,,,1.04313,-0.67669,,,2.19782
2021-01-10,-1.29016,0.99557,,2.30575,-0.67783,,,0.85805,-0.17476,,,2.04683
2021-01-11,0.55243,0.09248,,0.26570,1.12527,,,0.94161,-0.08205,,,2.00916
2021-01-12,0.15361,0.39116,,-0.70377,-1.36089,,,0.80446,0.13621,,,2.05868
2021-01-13,-0.03346,0.92256,,-0.46338,-0.47660,,,0.83380,0.35365,,,1.90856
2021-01-14,0.43779,1.20939,,-0.60554,-0.40673,,,0.62615,0.97563,,,1.95480
2021-01-15,-0.48147,0.37392,,-0.76487,0.41749,,,0.74901,1.18848,,,2.04382
2021-01-16,0.24744,0.76330,,-0.48030,-0.39465,,,0.67575,1.09869,,,2.01844
2021-01-17,0.53451,-1.67209,,0.67300,0.07922,,,0.49184,1.06711,,,2.29553
2021-01-18,-1.19822,0.49214,,1.86736,-1.05555,,,0.32080,1.08090,,,2.30793
2021-01-19,0.28621,-1.04985,,-0.88568,-1.23685,,,0.17997,0.51728,,,2.42599
2021-01-20,0.43667,-0.08722,,-0.79196,-1.07107,,,0.04571,0.54814,,,2.50447
2021-01-21,0.23093,0.58433,,-0.55307,0.72454,,,0.04356,1.16079,,,2.45965
2021-01-22,-1.16631,-0.01051,,-0.45689,2.25601,,,0.32942,0.85673,,,2.71686
2021-01-23,1.91731,-1.97776,,1.20358,-1.68412,,,0.09418,-0.03365,,,2.46028
2021-01-24,-1.65209,-1.72923,,-0.98223,-1.59506,,,0.21347,-0.56666,,,2.78605
2021-01-25,1.83926,0.33983,,1.74946,1.00345,,,0.30457,0.05573,,,2.73937
2021-01-26,-1.51982,-0.58917,,-0.36287,-0.26226,,,0.25954,-0.32754,,,2.80494
2021-01-27,0.43960,-0.26744,,-0.79843,0.07509,,,0.00893,-0.70410,,,2.56840
2021-01-28,-0.36028,0.67156,,-0.62454,0.48943,,,-0.30209,-0.22448,,,2.56474
2021-01-29,0.31669,0.22324,,-0.46367,0.72994,,,-0.58949,-0.39263,,,2.40087
2021-01-30,-0.40567,-0.53970,,0.85831,-0.35344,,,-0.60408,0.17771,,,2.58625
2021-01-31,0.01364,-1.12449,,1.19967,-1.23124,,,-0.74359,-0.64150,,,2.64026
2021-02-01,1.10248,0.11280,,1.42991,1.94748,,,-0.79501,-0.65221,,,2.53719
2021-02-02,-1.33921,-1.24849,,-0.08731,-0.90266,,,-1.06824,-1.39520,,,2.12479
2021-02-03,1.06536,0.29234,,0.35661,1.01856,,,-0.95718,-1.71059,,,2.14079
2021-02-04,-0.91474,0.94573,,-0.15966,0.43455,,,-0.99670,-1.93528,,,1.90886
2021-02-05,0.58351,0.10929,,-0.67423,-0.10711,,,-1.06928,-2.14490,,,2.09276
2021-02-06,0.32337,0.24139,,-0.81677,-0.87588,,,-0.92883,-2.41142,,,2.42367
2021-02-07,-0.35878,0.20956,,0.54560,-0.50408,,,-0.97257,-1.81420,,,2.65790
