link,date,headline,description,category
https://www.rbc.ru/politics/18/04/2024/6620f5279a7947a84457bd88,"18 апр 2024, 14:32",,"Германия уведомила Россию о нежелательности участия Москвы в мероприятиях по случаю 79-годовщины освобождения узников концентрационных лагерей, сообщила Мария Захарова. МИД расценил шаг немецкой стороны как «провокационный выпад»",
https://www.rbc.ru/technology_and_media/18/04/2024/6620f8779a7947c8c42ba336,"18 апр 2024, 14:04",,"Издатель «Вокруг света» и StarHit купил 30% в онлайн-сервисе психологических услуг «Поговорим.online». Shkulev Media планирует инвестировать более 100 млн руб. в проект на растущем рынке, который оценивается в 40 млрд руб. в год",
https://www.rbc.ru/sport/18/04/2024/6620ee009a7947d67c7dfb00,"18 апр 2024, 13:07",,"По данным газеты, россиянин травмировал голеностоп на тренировке и выбыл на пять недель. «Монако» до конца сезона осталось сыграть шесть матчей",
https://www.rbc.ru/sport/18/04/2024/6620e89b9a7947258934b191,"18 апр 2024, 12:56",,"Гильермо Абаскаля уволили 14 апреля. Никита Чернов считает, что испанец достаточно хорошо справлялся на своем посту, а Даниил Денисов рассказал, что в клубе игрокам посоветовали принять эту отставку и двигаться дальше",
https://www.rbc.ru/business/18/04/2024/6620e6469a7947c4e73340af,"18 апр 2024, 13:33",,"Владеющий онлайн-казино Cosmolot бизнесмен Дамерау заявил, что чиновники просят перевести половину его компании в офшор в обмен на прекращение следствия против нее. Ранее он называл Украину «лучшим регионом» для инвестиций",
https://www.rbc.ru/politics/18/04/2024/6620fe9e9a7947d6289b0afd,"18 апр 2024, 14:10",,"В Баварии днем ранее задержали двоих мужчин с гражданством России и Германии, которых подозревают в подготовке диверсий в ФРГ и сотрудничестве с российскими спецслужбами",
https://www.rbc.ru/rbcfreenews/6620eed59a79474321da5e56,"18 апр 2024, 14:09",,"Полиция арестовала шестерых подозреваемых в краже контейнера с золотом общей стоимостью $14,5 млн из аэропорта Торонто в Канаде весной 2023 года. Трансляцию по итогам задержания вела пресс-служба полиции канадского муниципалитета Пил на сервисеYouTube.",
https://www.rbc.ru/finances/18/04/2024/662103599a79478d578e7f10,"18 апр 2024, 14:26",,"Raiffeisen Bank International заявила, что требования ЕЦБ «выходят за рамки планов по сокращению бизнеса в России» и могут отрицательно повлиять на возможности по его продаже",
https://www.rbc.ru/rbcfreenews/6620e7599a794764a2485016,"18 апр 2024, 12:58",,Почти 500 нефтедобывающих скважин в Казахстане остаются закрытыми из-запаводковой ситуации. Об этом сообщает казахстанское изданиеOrdaсо ссылкой на Министерство энергетики страны.,
https://www.rbc.ru/rbcfreenews/6620e2a79a794711ce314f9e,"18 апр 2024, 13:35",,"Власти Буркина-Фасо решили выслать из страны трех французских дипломатов, обвиняя их в «подрывной деятельности»,сообщаеттелеканал France 24 со ссылкой на заявление МИДа европейского государства.",
https://www.rbc.ru/rbcfreenews/6620ed299a7947d67c7dfafc,"18 апр 2024, 13:26",,"Россия ждет от Армении четкой реакции на информацию в СМИ о «военно-политических договоренностях» страны с США и Евросоюзом,заявилаофициальный представитель российского МИДа Мария Захарова на брифинге.",
https://www.rbc.ru/rbcfreenews/6620d7a69a7947d38b504084,"18 апр 2024, 12:58",,"Жители Белоярского городского округа Свердловской области обратились в полицию после обнаружения в питомнике «Рива Паласио» более трех десятков мертвых собак, говорится всообщениина странице сообщества Huskyekb во «ВКонтакте». Владелец питомника утверждает, что животные отравились.",
https://www.rbc.ru/sport/18/04/2024/6620f75e9a79477748fae78a,"18 апр 2024, 14:11",,"Мария Эрранс Гомес выступала в прыжках на батуте. В городском совете Кабанильяс-дель-Кампо сообщили, что она скончалась от менингита всего за сутки. В городе объявили двухдневный траур",
https://www.rbc.ru/rbcfreenews/6620f1709a7947717386cb9d,"18 апр 2024, 13:33",,"Росздравнадзор начал проверку качества медицинской помощи, оказанной частным нейрохирургом в Москве. Об этом ведомствосообщилов своем телеграм-канале.",
https://www.rbc.ru/economics/18/04/2024/6620d1b29a7947b11ed5e11d,"18 апр 2024, 11:46",,"Греция оказалась в центре европейского долгового кризиса в 2010 году, она пережила годы жесткий экономии. Полное восстановление экономики ожидается уже в этому году, но проблемы остаются, пишет Reuters",
https://www.rbc.ru/?video_id=6620dd6b9a7947802e917502,,,,
https://www.rbc.ru/politics/18/04/2024/6620e2859a79471344d56478,"18 апр 2024, 12:54",,"Представитель МИДа заявила, что инициатива о перемирии во время Олимпиады должна пройти проверку на искренность, — Франция должна перестать поставлять вооружения Украине. В Кремле заявили, что ВСУ могут воспользоваться перемирием",
https://www.rbc.ru/?video_id=6620e7f89a79470ae66af2eb,,,,
https://www.rbc.ru/politics/18/04/2024/6620d92e9a7947ff1d56f175,"18 апр 2024, 12:15",,Оператор «Северных потоков» подал иск к страховым на €400 млн из-за отказа покрыть убытки после взрывов газопроводов. Lloyd’s of London и Arch Insurance объяснили отказ в выплатах связью инцидента с боевыми действиями на Украине,
https://www.rbc.ru/rbcfreenews/6620d86f9a794703e2215175,"18 апр 2024, 12:12",,Азово-Черноморская межрайонная природоохранная прокуратура организовала проверку в связи с обнаружением погибших дельфинов на берегу Черного моря в Анапе. Об этомсообщилапрокуратура Краснодарского края.,
https://www.rbc.ru/rbcfreenews/6620dc279a79474b2ed4115b,"18 апр 2024, 12:10",,В Баварии арестовали двоих подозреваемых в подготовке диверсий по заданию российских спецслужб. Об этомсообщилапресс-служба Генпрокуратуры ФРГ. Они имеют гражданство Германии и России. Ранее о задержании со ссылкой на данные прокуратуры сообщало издание Der Spiegel.,
https://www.rbc.ru/rbcfreenews/6620e4d49a79476490f6eba3,"18 апр 2024, 12:46",,"Сотрудники МВД и ФСБ провели мероприятия для противодействия киберпреступлениям, в ходе которых изъяли из теневого оборота 277 тыс. SIM-карт. Об этомсообщилаофициальный представитель МВД Ирина Волк.",
https://www.rbc.ru/rbcfreenews/6620e93b9a79475184192642,"18 апр 2024, 12:50",,"Спасатели пятый день ищут мужчину, который уплыл на лодке в затопленное садовое товарищество, чтобы покормить животных,сообщаетпоисково-спасательный отряд «ОренСпас».",
https://www.rbc.ru/sport/18/04/2024/6620e5779a7947d4906ea768,"18 апр 2024, 12:34",,"Ян Непомнящий одержал третью победу на турнире, обыграв черными фигурами индийца Видита Сантоша Гуджрати, и лидирует с семью очками",
https://www.rbc.ru/politics/18/04/2024/6620ed269a79470df42fd038,"18 апр 2024, 12:53",,"Куранова задержали в 2021 году, он тогда возглавлял Научно-исследовательское предприятие гиперзвуковых систем. По данным ТАСС, 76-летнего ученого заподозрили в передаче научных разработок иностранным спецслужбам",
https://www.rbc.ru/rbcfreenews/6620d9399a7947d0a7b5bf23,"18 апр 2024, 12:25",,"Спасатели уже третий день продолжают тушить пожар в историческом здании фондовой биржи в Копенгагене,сообщаетпожарная служба Дании Hovedstadens Beredskab. Периодически пожарные тушат небольшие очаги возгорания, которые возникают на месте пожара.",
https://www.rbc.ru/rbcfreenews/6620dada9a79470aa52e0fdb,"18 апр 2024, 12:05",,"Министр экономики Германии и вице-канцлер Роберт Хабек прибыл в Киев с небольшой делегацией представителей немецкого бизнеса, об этомсообщаетZEIT Online.",
https://www.rbc.ru/politics/18/04/2024/6620e91d9a794718c1cc3a79,"18 апр 2024, 12:42",,"ВСУ атаковали тренажерный центр ЗАЭС. В результате удара никто не пострадал, разрушений на объекте нет. В последний раз учебно-тренировочный центр подвергся атаке 9 апреля",
https://www.rbc.ru/rbcfreenews/6620e04c9a7947d98072f0a7,"18 апр 2024, 12:21",,,
https://www.rbc.ru/?video_id=6620dffd9a79478570063a8d,,,,
https://www.rbc.ru/rbcfreenews/6620e19c9a7947254a7b6e13,"18 апр 2024, 12:38",,Правительство расширило перечень жизненно необходимых и важнейших лекарственных препаратов (ЖНВЛП). Соответствующий документподписалпремьер-министр Михаил Мишустин.,
https://www.rbc.ru/rbcfreenews/6620cfae9a79477d35944730,"18 апр 2024, 11:41",,"Президент США Джо Байден предположил, что тело его дяди могли съесть каннибалы во времена Второй мировой войны. Об этом президент рассказал на мероприятии в Питтсбурге, трансляцию речи Байдена вYouTubeвел Белый дом.",
