date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-07-20,1.104200,-0.061060,1.033500,-0.786180,-0.659840,-0.138600,-0.086510,-1.482170,-0.603850,-0.481810,-1.015380,0.000000,1.040478,-1.219391,-0.001590,1.905588,-1.896562,1.599635,0.187679,0.962075,1.877863,1.999044,7.114468
2020-07-21,0.033360,0.622820,1.033500,-0.567710,-0.223580,-0.229600,-0.544960,-1.390230,-0.692510,-0.509280,-0.845180,0.000000,0.783444,-1.164047,-0.008281,1.804811,-1.078846,2.252050,0.279921,1.105887,1.853289,1.970379,5.842590
2020-07-22,-0.314430,0.533520,-0.284030,-0.453420,-1.093730,-0.098390,0.298570,-1.225790,-1.341590,-0.705250,-0.806230,0.000000,0.230721,-1.374687,0.012070,1.721737,-0.452186,2.532012,0.372064,1.243153,1.820813,1.942687,4.384093
2020-07-23,0.452780,-0.002190,-0.110520,-0.504320,1.437890,-0.337670,-0.630750,-1.233280,-1.924390,-0.900680,-0.843510,0.000000,0.555752,-1.201544,0.008255,1.678617,0.452642,2.673527,0.475567,1.379877,1.783073,1.912193,5.854944
2020-07-24,-0.370790,0.404110,-1.163750,-0.157740,0.231280,0.627940,-0.298340,-0.750970,-1.753290,-0.901280,-0.854750,0.000000,0.349000,-1.301693,0.011585,1.714745,0.734113,2.553673,0.599041,1.518015,1.751934,1.885735,5.064557
2020-07-27,-1.337620,0.112170,-0.586700,0.517350,1.466850,0.311010,-0.466170,-0.084330,-2.587580,-0.707530,-0.385000,0.000000,0.727969,-1.544051,0.012558,1.693118,1.513955,2.627158,0.705008,1.622717,1.720293,1.859413,6.376812
2020-07-28,1.542630,0.618030,-0.512330,-0.051700,0.455990,0.471530,-0.281470,0.745050,-2.049430,-0.681920,-0.641540,0.000000,0.186938,-1.425422,0.012350,1.716179,2.131899,2.621328,0.797382,1.707684,1.685025,1.830051,-0.260078
2020-07-29,-0.613430,0.759170,0.978550,0.277640,-0.469520,1.503000,-0.336170,0.290210,-1.982620,-0.472210,-0.377060,0.000000,0.706559,-1.240855,0.000931,1.707626,2.310178,2.587420,0.900489,1.793032,1.649208,1.801308,1.850638
2020-07-30,-0.164080,0.250180,0.902080,-0.554730,0.283640,0.653530,0.353800,0.165980,-2.245940,-0.649810,-0.144700,0.000000,-1.864045,-0.881498,0.014900,1.724367,2.008091,2.496121,0.991777,1.848723,1.612787,1.772249,1.316603
2020-07-31,0.915360,1.408580,,-0.888810,-0.678520,0.904720,0.406520,-0.220030,-1.618160,-0.851350,-0.037810,0.000000,1.066736,-1.313183,0.015538,1.809896,1.785917,2.357876,1.063575,1.886152,1.579396,1.745270,6.620987
2020-08-03,-0.999680,0.220140,0.832020,-0.910590,-0.946420,-0.325700,-0.463900,-0.121100,-0.747730,-0.880570,0.231850,0.000000,0.557317,-1.237366,0.003910,1.831444,1.763679,2.245626,1.112557,1.902403,1.549968,1.720424,9.170089
