TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2020-11-17,-1.00417,1.143235,,0.0,0.358648,1.356878,,-0.108836,2.031551,1.692915
2020-11-18,0.356262,1.040179,,0.0,0.390807,1.85101,,-0.099099,2.366799,1.709019
2020-11-19,-1.125688,1.116292,,0.0,0.489301,2.10626,,-0.11083,2.692476,1.716395
2020-11-20,-0.213421,0.949587,,0.0,0.637341,2.23244,,-0.141615,2.912576,1.732883
2020-11-23,-0.396486,0.889862,,0.0,1.342143,2.220316,,-0.174983,3.084063,1.745701
2020-11-24,0.83992,0.925852,,0.0,1.781253,2.1912,,-0.186351,3.17933,1.760147
2020-11-25,0.515597,0.672013,,0.0,2.050444,2.181665,,-0.12781,3.18727,1.772073
2020-11-26,-0.370215,0.425161,,0.0,2.232879,2.150971,,-0.029758,3.144874,1.782791
2020-11-27,-0.55846,-1.016561,,0.0,2.151854,2.142862,,0.095923,3.074861,1.796035
2020-11-30,-1.539946,-0.684284,,0.0,1.795721,2.081565,,0.190554,2.987866,1.807213
2020-12-01,0.480262,-1.197009,,0.0,1.678606,2.054142,,0.352858,2.922701,1.821584
2020-12-02,0.534758,-1.530385,,0.0,1.736104,2.01828,,0.596735,2.881663,1.833502
2020-12-03,-1.284538,-1.442019,,0.0,1.763998,1.949514,,0.836736,2.827864,1.83954
2020-12-04,0.179015,-2.151307,,0.0,1.762264,1.871673,,1.099172,2.779108,1.851032
2020-12-07,-0.140676,-1.993764,,0.0,1.762372,1.799878,,1.428536,2.74876,1.857973
2020-12-08,-0.920268,-2.70837,,0.0,1.482709,1.696428,,1.752655,2.70963,1.860084
2020-12-09,0.783706,-2.174492,,0.0,1.416426,1.621894,,2.072382,2.654032,1.861448
2020-12-10,1.199655,-1.72591,,0.0,1.515609,1.574326,,2.392076,2.597062,1.863173
2020-12-11,0.201168,-1.529117,,0.0,1.664276,1.53924,,2.651996,2.54114,1.861849
2020-12-14,-1.103877,-1.254693,,0.0,1.873778,1.504566,,2.77252,2.487518,1.85964
2020-12-15,-0.530745,-1.390382,,0.0,1.838182,1.451177,,2.846077,2.434847,1.856682
2020-12-16,0.411371,-1.423627,,0.0,1.76428,1.429864,,2.903279,2.384734,1.851597
2020-12-17,0.104575,-1.336819,,0.0,1.800024,1.407945,,2.953361,2.342261,1.844053
2020-12-18,-0.798979,-1.459646,,0.0,1.532644,1.406381,,3.030526,2.304356,1.837689
2020-12-21,-2.89164,-0.135849,,0.0,0.644377,1.369194,,2.995694,2.263369,1.833034
2020-12-22,1.219095,0.156345,,0.0,-0.261141,1.371792,,2.963561,2.225288,1.828699
2020-12-23,0.246656,0.019654,,0.0,-1.115409,1.368866,,2.934227,2.190159,1.820162
2020-12-24,-0.629639,0.022189,,0.0,-1.671588,1.346933,,2.897038,2.156037,1.807618
2020-12-25,0.132964,0.156781,,0.0,-1.914404,1.339058,,2.843689,2.132612,1.799088
2020-12-28,0.216629,0.212401,,0.0,-1.880327,1.342607,,2.804211,2.107431,1.794353
2020-12-29,0.244616,-0.089968,,0.0,-1.726822,1.388566,,2.770566,2.079507,1.785587
2020-12-30,0.248027,-0.286328,,0.0,-1.52893,1.416318,,2.745644,2.042909,1.781988
2021-01-04,1.690365,0.197769,,0.0,-1.181496,1.45481,,2.754241,2.01607,1.792187
2021-01-05,-0.03182,-0.055988,,0.0,-0.859475,1.516825,,2.741044,1.990455,1.80201
2021-01-06,0.089291,-0.04493,,0.0,-0.531292,1.563865,,2.71962,1.962614,1.802106
2021-01-08,2.017109,1.474227,,0.0,0.025745,1.660983,,2.736207,1.933142,1.804192
2021-01-11,0.357734,1.154387,,0.0,0.750743,1.780099,,2.744627,1.886263,1.799792
2021-01-12,-0.667834,1.090919,,0.0,1.594661,1.84229,,2.739717,1.836326,1.791743
2021-01-13,-0.341564,0.677033,,0.0,2.04931,1.848054,,2.720654,1.785296,1.780816
2021-01-14,0.291016,0.618887,,0.0,2.01674,1.844496,,2.704352,1.734794,1.770931
2021-01-15,-1.395279,0.907309,,0.0,1.870926,1.819124,,2.664635,1.676582,1.760028
2021-01-18,0.282895,0.776456,,0.0,1.575976,1.815116,,2.637218,1.626052,1.748104
2021-01-19,-1.029473,1.039771,,0.0,1.393771,1.767648,,2.60365,1.581591,1.731615
2021-01-20,0.40273,1.04793,,0.0,1.253286,1.73136,,2.574045,1.536821,1.721248
2021-01-21,-1.364599,2.142734,,0.0,0.867952,1.670175,,2.531613,1.490882,1.709485
2021-01-22,-1.551652,-1.292742,,0.0,0.214561,1.652445,,2.485563,1.434049,1.699435
2021-01-25,0.221963,-1.926553,,0.0,-0.397683,1.609712,,2.440893,1.38387,1.693049
2021-01-26,-0.442934,-1.648918,,0.0,-1.164991,1.557971,,2.394627,1.33539,1.681403
2021-01-27,-1.637577,-0.607453,,0.0,-2.025956,1.495565,,2.348286,1.288438,1.67252
2021-01-28,-0.196333,-0.561119,,0.0,-2.209313,1.438923,,2.308144,1.24332,1.661539
2021-01-29,-1.898887,1.146676,,0.0,-2.019185,1.339148,,2.270948,1.213033,1.655193
2021-02-01,0.386421,1.026814,,0.0,-1.814408,1.251952,,2.235573,1.192614,1.644412
2021-02-02,1.745957,2.141808,,0.0,-1.798371,1.222412,,2.214863,1.175397,1.634388
